gene,pu_score,pu_rank,label,is_lcgene_gene,is_val_gene,is_query_gene,pu_novel_candidate
VSTM2L,0.8768666666666654,427,0,False,False,False,True
PCP4L1,0.8766666666666665,428,0,False,True,False,True
ALOX15,0.8766666666666663,429,0,False,False,False,True
CSF2,0.8764999999999996,430,1,True,False,False,False
THBS2,0.8764333333333322,431,0,False,False,False,True
TNNT1,0.875966666666666,432,0,False,False,False,True
ERAP2,0.8753333333333324,433,0,False,False,False,True
FERMT1,0.8749999999999994,434,1,True,False,False,False
CFTR,0.8748999999999997,435,1,True,False,False,False
CENPF,0.8748000000000004,436,0,False,False,False,True
AHNAK2,0.8746666666666664,437,0,False,False,False,True
FLNC,0.8744666666666658,438,0,False,True,False,True
FOXP3,0.8743000000000001,439,1,True,False,False,False
CDC6,0.8739666666666659,440,0,False,False,False,True
NMNAT2,0.8728999999999998,441,0,False,True,False,True
LRRK2,0.872766666666666,442,0,False,False,False,True
MT1A,0.8727333333333329,443,0,False,True,False,True
HHLA2,0.8720666666666667,444,0,False,False,False,True
CRYM,0.8716333333333328,445,0,False,False,False,True
HAS3,0.8707666666666664,446,0,False,False,False,True
CDH13,0.8705666666666669,447,1,True,False,False,False
CCNE2,0.8701666666666671,448,1,True,False,False,False
SPINK1,0.8696333333333327,449,0,False,False,False,True
MDK,0.8693333333333337,450,1,True,False,False,False
LRRC36,0.8692333333333329,451,0,False,False,False,True
CREB3L1,0.8686999999999997,452,0,False,True,False,True
HOXD1,0.8680333333333337,453,0,False,False,False,True
CRLF1,0.8677999999999993,454,0,False,False,False,True
AADAC,0.8674666666666665,455,0,False,True,False,True
MSMB,0.8674333333333328,456,0,False,False,False,True
KRT23,0.8674333333333326,457,0,False,False,False,True
HLF,0.8671333333333329,458,0,False,False,False,True
GJB1,0.8669333333333333,459,1,True,False,False,False
TBX15,0.8669333333333329,460,0,False,False,False,True
HLA-DRB5,0.8667666666666664,461,0,False,False,False,True
PKP2,0.8666999999999998,462,0,False,False,False,True
BIRC7,0.8662000000000001,463,1,True,False,False,False
ANXA8,0.8660999999999995,464,0,False,False,False,True
SPOCD1,0.8657000000000001,465,0,False,True,False,True
FNDC1,0.8656666666666657,466,0,False,False,False,True
GLDC,0.8654000000000001,467,1,True,False,False,False
CACNA2D2,0.8653666666666663,468,1,True,True,False,False
TTK,0.8653333333333331,469,0,False,False,False,True
PRR15,0.8653333333333325,470,0,False,False,False,True
HLA-DQB2,0.865133333333333,471,0,False,True,False,True
PLA2G3,0.8650333333333339,472,0,False,True,False,True
UHRF1,0.8649999999999991,473,0,False,True,False,True
PCSK1N,0.864933333333333,474,0,False,False,False,True
THY1,0.8647666666666667,475,1,True,False,False,False
FGFBP1,0.8644999999999995,476,0,False,False,False,True
POSTN,0.8643666666666667,477,1,True,True,False,False
ABI3BP,0.8642666666666672,478,1,True,False,False,False
KIF4A,0.8640999999999993,479,0,False,True,False,True
KRT14,0.8639666666666669,480,0,False,False,False,True
CX3CL1,0.8637666666666662,481,0,False,True,False,True
RND1,0.8637333333333326,482,0,False,False,False,True
DLGAP5,0.8635666666666666,483,0,False,False,False,True
RET,0.8629666666666667,484,1,True,False,False,False
FER1L4,0.8625666666666657,485,0,False,False,False,True
ANKRD22,0.8624666666666663,486,0,False,False,False,True
SFTA2,0.8624333333333336,487,0,False,False,False,True
INHBB,0.8624,488,0,False,False,False,True
KRT80,0.8624,488,0,False,True,False,True
CLDN8,0.8621999999999993,490,0,False,False,False,True
NCAPH,0.8619999999999999,491,0,False,False,False,True
SFTPA2,0.8615999999999997,492,0,False,True,False,True
PDZK1IP1,0.8615333333333327,493,0,False,False,False,True
FOXQ1,0.8613666666666656,494,0,False,False,False,True
WFDC2,0.861233333333333,495,1,True,True,False,False
BCAT1,0.8609666666666665,496,0,False,False,False,True
AMPH,0.8609333333333334,497,1,True,False,False,False
SERPINF1,0.8608666666666668,498,1,True,False,False,False
FASN,0.8607000000000007,499,1,True,False,False,False
BMP3,0.8606333333333331,500,0,False,True,False,True
HS3ST2,0.8605999999999998,501,0,False,False,False,True
VWA3B,0.8605666666666661,502,0,False,True,False,True
NR0B2,0.8603333333333332,503,0,False,False,False,True
SLC16A12,0.8600666666666664,504,0,False,False,False,True
PHGDH,0.8599000000000003,505,0,False,False,False,True
ABCB1,0.8597000000000005,506,1,True,False,False,False
SKA3,0.8593999999999994,507,0,False,False,False,True
SCNN1G,0.8591666666666669,508,0,False,False,False,True
DPP4,0.8588999999999999,509,0,False,True,False,True
COL17A1,0.8584666666666669,510,0,False,False,False,True
HMMR,0.8583333333333322,511,0,False,False,False,True
IDO1,0.8582333333333336,512,0,False,False,False,True
SLC6A3,0.8582333333333331,513,0,False,False,False,True
EMCN,0.8581666666666666,514,0,False,False,False,True
DNAJC12,0.858066666666666,515,0,False,True,False,True
LRRC15,0.8578999999999998,516,0,False,False,False,True
MMP3,0.8575000000000004,517,1,True,False,False,False
