gene,mean_tumor,mean_normal,log2fc,t_stat,pvalue,pvalue_adj,neg_log10_padj,cohens_d,significant,direction
COL1A1,15.21317669483219,7.884142695029301,7.329033999802889,83.1021935630683,0.0,0.0,300.0,5.077381716199145,True,up
TMEM184A,9.728222791287154,2.4032991215065422,7.3249236697806115,120.08600034019221,0.0,0.0,300.0,7.470067960785359,True,up
MUC20,10.203916207344061,2.880778034696268,7.323138172647793,92.87091369706344,0.0,0.0,300.0,5.903400770945853,True,up
LAMB3,12.581663426383027,5.258735948023003,7.3229274783600244,99.49496579466863,0.0,0.0,300.0,6.222361068774669,True,up
STAT1,12.712376032448912,5.3917273410185835,7.320648691430328,154.5532509514361,0.0,0.0,300.0,9.611278590852883,True,up
GALNT7,10.595638380737375,3.2762290210818037,7.319409359655571,181.59194261510487,0.0,0.0,300.0,11.479573330432162,True,up
FLNB,12.51686757465909,5.197654435243088,7.319213139416002,188.0774991611931,0.0,0.0,300.0,11.598386559653768,True,up
NOMO1,12.019637907467953,4.710707940984596,7.3089299664833565,249.67818155812662,0.0,0.0,300.0,15.489381010137327,True,up
CBS,8.726516096871498,1.4218356202063822,7.304680476665116,93.84309763138606,0.0,0.0,300.0,5.967713028314456,True,up
MEMO1,8.716754287742082,1.4235171378782485,7.293237149863834,262.71250766711796,0.0,0.0,300.0,16.453574129460907,True,up
PMS2,9.233155325198508,1.9417911366228722,7.291364188575636,263.17467430522447,0.0,0.0,300.0,16.0224700676975,True,up
LAMC2,11.776264945497514,4.492289680617781,7.283975264879733,90.1352983584654,0.0,0.0,300.0,5.678242571805793,True,up
SDC1,13.528670189798714,6.25060755676486,7.278062633033854,130.23331555267586,0.0,0.0,300.0,7.804683135811619,True,up
PLEKHA6,9.731535042706156,2.464125858342611,7.2674091843635455,99.37324086986193,0.0,0.0,300.0,6.281306733745829,True,up
ITGB4,11.583286485864363,4.318872516153226,7.264413969711137,93.59016450868381,0.0,0.0,300.0,5.944952307954696,True,up
HOOK1,9.59268993960328,2.331496268887384,7.261193670715897,149.98576872828838,0.0,0.0,300.0,9.065313596816118,True,up
KIF11,8.74697681283137,1.4907822512305284,7.256194561600842,127.73335078690207,0.0,0.0,300.0,8.012808690257913,True,up
ARHGEF35,9.017862349041355,1.7619079773923356,7.255954371649019,155.34799509413196,0.0,0.0,300.0,9.66460421090998,True,up
MLEC,12.483625569926039,5.236582114534968,7.247043455391071,196.509268710977,0.0,0.0,300.0,12.059685776156904,True,up
GLB1L2,9.297011299987892,2.0540142967314203,7.2429970032564714,103.06160646956482,0.0,0.0,300.0,6.530833125668182,True,up
SIPA1L3,10.596345735043336,3.355672075488151,7.240673659555185,209.28635791029652,0.0,0.0,300.0,13.129549132429009,True,up
P4HB,14.888315163075866,7.647721244036501,7.240593919039365,227.07751320704858,0.0,0.0,300.0,13.733534592837872,True,up
NSL1,9.4004259235067,2.1647722306633805,7.23565369284332,263.37634853973225,0.0,0.0,300.0,16.285463969070676,True,up
MANEAL,8.585931459455399,1.3585730958405249,7.227358363614874,118.97089798835079,0.0,0.0,300.0,7.5572611966253564,True,up
GPR89A,9.560310341139749,2.338254187955716,7.222056153184033,257.82097835829074,0.0,0.0,300.0,15.91277112188291,True,up
SIX1,8.33441144292211,1.1137272142105574,7.220684228711553,81.04317148569564,0.0,0.0,300.0,5.113877618726574,True,up
EPCAM,13.166695471736427,5.951771465692993,7.214924006043433,132.68030021556214,0.0,0.0,300.0,7.825956398956842,True,up
GRHL2,10.019657350788645,2.8051555287454666,7.214501822043179,128.9402106534801,0.0,0.0,300.0,7.778567331232865,True,up
THBS2,11.408215198990682,4.199621708179744,7.208593490810938,88.23372767350014,0.0,0.0,300.0,5.428325259690927,True,up
MDK,12.29856059862034,5.091992639543005,7.206567959077335,103.06463184137925,0.0,0.0,300.0,6.336061300930603,True,up
PGM2L1,9.560541686139855,2.354011212979825,7.206530473160029,150.42264511342094,0.0,0.0,300.0,9.401185523997928,True,up
TOM1L1,9.939675248573423,2.7348180371887225,7.2048572113847005,192.5788650768389,0.0,0.0,300.0,11.846288241720497,True,up
SLC39A11,10.193418886123633,2.994475120283298,7.198943765840335,188.21506259552154,0.0,0.0,300.0,11.642002219344622,True,up
AGRN,12.983987781740304,5.792449626630057,7.191538155110247,152.83725937185966,0.0,0.0,300.0,9.626680470135277,True,up
ITGA11,8.881436118942565,1.6932540808999859,7.188182038042579,87.51230513641505,0.0,0.0,300.0,5.57846688602586,True,up
