gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
ALDH1A2,0.9005333333333332,342,96.9,1,0,False,3.224498188557792,7.664879480426121e-132,131.11549466943288,up,True,5.990082653266368,2.765584464708577,False,True,True
CDC45,0.9001666666666666,343,96.89,1,0,False,5.673024352804835,0.0,300.0,up,True,7.100593985250882,1.4275696324460465,False,True,True
TNFRSF11B,0.8997333333333326,344,96.88,1,0,False,2.356160540577779,1.914564195035952e-125,124.71793006724656,up,True,6.369989840833592,4.0138293002558125,False,True,True
PRSS21,0.898866666666666,347,96.85,1,0,False,2.694631461080087,1.8464075257541082e-75,74.73367243838419,up,True,4.775883923387932,2.081252462307845,False,True,True
AQP3,0.8987333333333326,348,96.84,1,0,False,5.903754002695103,2.5621895256024385e-303,300.0,up,True,12.525476210486298,6.621722207791195,False,True,True
IL1RL1,0.8975666666666655,351,96.81,1,0,False,-2.315582132324492,3.9379071677324686e-76,75.40473452614019,down,True,4.79236193404338,7.107944066367872,False,True,True
IFIT1,0.8974999999999996,352,96.81,1,0,False,5.474634545311118,0.0,300.0,up,True,8.988083175254136,3.513448629943018,False,True,True
SHISA3,0.8971666666666666,353,96.8,1,0,False,2.45864085863588,1.0839405371046586e-60,59.96499454170506,up,True,5.785124526734176,3.326483668098296,False,True,True
IFI44L,0.8969666666666658,355,96.78,1,0,False,5.529245124880182,0.0,300.0,up,True,8.903312821010159,3.374067696129977,False,True,True
ALDH1A3,0.8959333333333329,356,96.77,1,0,False,5.76251238868603,0.0,300.0,up,True,8.821648397569831,3.0591360088838004,False,True,True
NUF2,0.8957333333333325,357,96.76,1,0,False,6.149481895037159,0.0,300.0,up,True,7.417404638325711,1.267922743288552,False,True,True
CH25H,0.8955666666666662,358,96.75,1,0,False,2.6038304491208653,5.226289748058552e-118,117.28180651644284,up,True,7.144867790756666,4.541037341635801,False,True,True
