gene,predicted_prob,predicted_label,rank,percentile,novel_candidate,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,node_color,node_size
EIF4A3,0.1049999999999999,0,4317,60.71,False,False,4.72924077280195,0.0,300.0,up,True,10.845599790056156,6.116359017254207,11,6.907570004463196,1.018430247142912e-05,0.1064374900079552,3.068084331528267e-06,0.3742801693708317,1,0.6279609203338623,#F0882A,9.724999999999994
XPC,0.0623666666666665,0,4992,54.57,False,False,4.729503539956323,0.0,300.0,up,True,9.672627871311498,4.943124331355175,7,4.344882071018219,2.776074729911874e-05,0.1058558964815843,2.276965351692544e-06,0.2555233848688605,1,0.6206974387168884,#F0882A,7.806499999999993
NPC2,0.5235000000000003,1,1909,82.63,False,False,5.365662095036097,0.0,300.0,up,True,13.23972847736025,7.874066382324154,10,6.178117871284485,0.0001066347577476,0.0992238156372986,0.0001338400875242,0.2025404585869686,1,0.6178117394447327,#F0882A,28.55750000000001
BLNK,0.1500333333333333,0,3903,64.48,False,False,5.834447077644494,0.0,300.0,up,True,7.385699730255619,1.5512526526111254,1,0.607425332069397,0.0,0.0935833479288252,0.0002123521950461,0.0,1,0.607425332069397,#F0882A,11.751499999999998
BLOC1S1,0.0013,0,9376,14.6,False,False,3.7949241468425337,0.0,300.0,up,True,10.040808179268756,6.245884032426223,38,24.39025223255157,0.0001281820887476,0.1071510772922143,1.8613780260053145e-07,0.2211576087158886,1,0.6418487429618835,#F0882A,5.0585
CD63,0.0122333333333333,0,7342,33.16,False,False,4.602411989937775,0.0,300.0,up,True,14.154304754484189,9.551892764546412,6,3.790330469608307,2.5794930820895108e-05,0.0947858620368362,7.157993266339205e-08,0.1750766546356267,1,0.6317217350006104,#F0882A,5.550499999999999
COX17,0.0536999999999999,0,5197,52.7,False,False,3.335938917471518,0.0,300.0,up,True,9.092537945946496,5.756599028474977,8,5.009711802005768,2.2387212945896767e-05,0.1059787330747276,2.227302040749679e-07,0.4491482393950555,1,0.6262139678001404,#F0882A,7.416499999999996
ORMDL2,0.0006666666666666,0,9608,12.47,False,False,4.302820654893715,0.0,300.0,up,True,9.768987526760316,5.466166871866601,14,8.818025946617126,1.656864285437945e-05,0.1067395999807071,4.3642957891287123e-07,0.2598775880017636,1,0.6298589706420898,#F0882A,5.029999999999997
SURF1,0.0013,0,9376,14.6,False,False,4.042779305508941,0.0,300.0,up,True,9.696532917322038,5.653753611813097,11,6.8551371693611145,2.164365420423931e-05,0.0954082744231094,1.3793840870678724e-08,0.2160977775762414,1,0.6231942772865295,#F0882A,5.0585
TMEM141,0.0773666666666666,0,4697,57.25,False,False,3.6711185197071146,0.0,300.0,up,True,9.873446741803292,6.2023282220961775,11,6.823621392250061,8.854996695961204e-06,0.1060431898956842,6.339135775283516e-07,0.3987437997375632,1,0.6203292012214661,#F0882A,8.481499999999997
