gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens,degree,weighted_degree,betweenness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,tumor_mean,tumor_std,normal_mean,normal_std,abs_log2fc_rank,neg_log10_padj_rank
AZGP1,0.973733,67,99.4,1,1,True,5.072667,0.0,146.051654,up,True,8.434676,3.362008,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.434676,3.134623,3.362008,1.624923,0.689878,0.15811
CDC20,0.973567,68,99.39,1,0,False,6.832255,0.0,300.0,up,True,8.932691,2.100436,False,True,True,233,173.943051,0.000663,0.000154,0.47018,1,0.746537,8.932691,1.40149,2.100436,1.04158,0.971418,0.666394
ANPEP,0.9735,69,99.38,1,1,True,3.040784,0.0,163.710982,up,True,9.023862,5.983077,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.023862,1.721014,5.983077,0.803005,0.22465,0.176861
GREM1,0.973233,70,99.37,1,1,True,8.26363,0.0,300.0,up,True,9.12613,0.8625,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.12613,2.256696,0.8625,0.96373,0.996268,0.666394
SPNS2,0.9731,71,99.36,1,1,True,2.592132,0.0,173.128602,up,True,9.098812,6.50668,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.098812,1.398525,6.50668,0.810162,0.170581,0.186601
PROM1,0.9727,72,99.35,1,1,True,5.713321,0.0,169.262541,up,True,7.070321,1.357,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.070321,3.13044,1.357,1.269754,0.841161,0.181959
CXCR1,0.9724,73,99.34,1,1,True,-0.408031,2e-06,5.6586,ns,False,3.579891,3.987922,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,3.579891,1.502939,3.987922,1.294919,0.016384,0.013654
UBE2C,0.972067,74,99.34,1,1,True,6.210772,0.0,300.0,up,True,8.832273,2.621501,False,False,False,177,128.78425,6.4e-05,0.000126,0.632643,1,0.727595,8.832273,1.664285,2.621501,1.093118,0.920171,0.666394
BIRC5,0.971667,75,99.33,1,1,True,6.255215,0.0,300.0,up,True,8.002716,1.747501,False,False,False,218,161.889409,0.00054,0.000148,0.498907,1,0.742612,8.002716,1.531383,1.747501,0.95264,0.927544,0.666394
NQO1,0.971567,76,99.32,1,1,True,6.691963,0.0,300.0,up,True,11.817862,5.125899,False,False,False,20,13.394062,5e-06,0.0,0.454089,1,0.669703,11.817862,1.757456,5.125899,0.90474,0.963135,0.666394
TOP2A,0.971567,77,99.31,1,1,True,8.750855,0.0,300.0,up,True,10.810618,2.059763,False,False,False,211,159.816738,0.0001,0.000141,0.554619,1,0.757425,10.810618,1.373367,2.059763,1.065678,0.998088,0.666394
C4BPA,0.9713,78,99.3,1,1,True,5.488933,0.0,186.154949,up,True,10.661545,5.172612,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.661545,2.64464,5.172612,2.321819,0.793646,0.200892
FCGBP,0.971267,79,99.29,1,1,True,7.887457,0.0,300.0,up,True,9.868225,1.980769,False,False,False,6,3.909411,0.0,0.000122,0.596265,1,0.651569,9.868225,2.150241,1.980769,0.926208,0.994174,0.666394
